sentence	subj_idx	verb_idx	verb_pos	verb	inflected_verb
symbol of bird is green NNP , symbol of tree is NNP , and symbol of flower is NNP .	0	3	VBZ	is	are
the highway is also one of NNP 's only two links to interstate 65 .	1	2	VBZ	is	are
the serious points i added are about as RB sourced as they could be , because of my own blp concerns .	2	5	VBP	are	is
comment the new sources which mention the song are all trivial mentions in reviews for the album on which the song appears .	20	21	VBZ	appears	appear
that NN , the argument about frequency is weak .	4	7	VBZ	is	are
some fans VBP the e NNP music project will soon end or already has ended .	1	2	VBP	speculate	speculates
people from the nearest village of NNP often play in the field too .	0	8	VBP	play	plays
the most prominent example of this is the all india NNP NNP , currently led by NNP NNP .	3	6	VBZ	is	are
works by NNP NNP centre around social and religious history of europe in 19th and 20th century .	0	4	VBP	centre	centres
as the bullet moves along the barrel , the space behind it gets bigger - and since no more gas is being produced , the pressure can only drop .	9	12	VBZ	gets	get
except for NN ( 8 ) and NN ( 9 ) , these words are all JJ stems and may lose the final i in certain situations .	13	14	VBP	are	is
moreover , the person is not so notable to remain as i realize .	3	4	VBZ	is	are
the main languages spoken in NNS are NNP , which is spoken on the islands of NNP and NNP , and NNP , which is spoken primarily on the island of NNP .	2	6	VBP	are	is
the list of national historic landmarks in iowa contains the landmarks designated by the u .	1	8	VBZ	contains	contain
murder in my mind is a 1997 science fiction crime drama film starring NNP NNP , NNP NNP , peter NNP , peter NNP , ian NNP and peter NNP .	0	4	VBZ	is	are
games developed at NNP games include math rescue , word rescue , talking abc 's , NNP wars and rescue the scientist .	0	5	VBP	include	includes
list of magazines published in scotland is an incomplete list of magazines and comics published in scotland .	0	6	VBZ	is	are
top of the tower offers a commanding view of the city .	0	4	VBZ	offers	offer
plus , NNP , epic , and NNP ; these systems are commonly available for use in embedded control systems .	10	11	VBP	are	is
behind the driver is a seat for a single infantry man .	2	3	VBZ	is	are
the seed , leaves , and NN of the NN tree have been used in traditional medicine by indigenous peoples of the rain forest regions in the americas , NNP africa , and south east asia to treat this disease .	1	3	VBZ	leaves	leave
a RB JJ ring is a ring with a unique , JJ minimum JJ ideal .	3	4	VBZ	is	are
support ( global ) while the NNP bill needs to be defeated , it is also important to raise global awareness regarding this type of legislation .	7	8	VBZ	needs	need
the JJ NN is in series with a linear circuit consisting of a NN and a voltage source .	2	3	VBZ	is	are
the first one has roughly 500 members whereas the latter has 100 members .	2	3	VBZ	has	have
NNP and producer NNP NNP thought it `` VBD down the picture '' and that `` the song sounds like something for NNP macdonald , not for a little girl singing in a NN '' .	17	18	VBZ	sounds	sound
he takes them into the elaborate suspended house he has constructed over the NNP ' inside the whale 's RB , and teaches them about how to live inside the wall , what NNS are possible , introduces them to his NNP sea friends , etc .	33	34	VBP	are	is
the second version is a quarterly JJ magazine that focuses more on content and has a wider range of content versus the convention version .	2	3	VBZ	is	are
non-free images , with limited exceptions , are among them .	1	7	VBP	are	is
an archive search shows over 2000 hits .	2	3	VBZ	shows	show
these movies seem to be more associated with the continuity in sigma six , and do not really seem to have any direct ties to previous animated continuity .	1	2	VBP	seem	seems
the lead , played by NNP , is a JJ NN attempting a comeback as a pop star .	1	7	VBZ	is	are
jet force NNP also features a no JJ JJ mode , where the second player takes control of floyd , a floating robot that automatically follows the main JJ character , and can assist him by shooting .	14	15	VBZ	takes	take
the most widely used explanation however is that when the forth bridge was being built , the workers who VBD in NNP often had cheese NNS for lunch .	4	6	VBZ	is	are
the district contains twenty objects classified as cultural and historical heritage by russian federal law and additionally one object classified as cultural and historical heritage of local importance ( the chapel in the village of NNP ) .	1	2	VBZ	contains	contain
in this view , the glass transition is not merely a JJ effect , i .	6	7	VBZ	is	are
these changes come into effect from the start of the 2013 academic year .	1	2	VBP	come	comes
his old boss says he can have his job back if he brings in a story .	2	3	VBZ	says	say
the JJ papers are a collection of articles , written in opposition to the NN of the CD united states constitution .	2	3	VBP	are	is
this process is similar to the way in which a NN grows in size as it is rolled around in the snow .	1	2	VBZ	is	are
the village has 2 bus stops along main road served by route NNP , and the nearest railway station is NNP .	18	19	VBZ	is	are
the NN release is a split NNP with NNP realm .	2	3	VBZ	is	are
his argument as spelled out in his edit summaries and on the talk page is that JJ language sources are always unreliable for well known people .	18	19	VBP	are	is
the visual problem is the lack of objects in three JJ space to be VBN with the same projection and the cognitive problem is that any object can be a different object depending on the NN .	2	3	VBZ	is	are
a game of NN usually involves two opposing teams seeking to eliminate all of the other team 's players or to complete an objective , such as VBG a flag , eliminating a specific player , or other JJ variations .	1	5	VBZ	involves	involve
in order to ensure that the simulation is efficient , the crucial requirement is that the number of JJ interactions that require JJ communication be much smaller than the number of JJ interactions within the bulk of each processor 's region of space .	12	13	VBZ	is	are
its launch NNS have enough room for at least several dozen NNP NNP and at least one squadron of NNP NNP .	2	3	VBP	have	has
in the NNP woman , the two main characters discover a room which seems to exist only some of the time ; while they are there together , they can see more clearly and express themselves RB .	8	9	VBP	discover	discovers
the NNP and the young and JJ advocate try to convince NNP that an arranged marriage is her only path of escape from NN .	15	16	VBZ	is	are
more recently , it is believed that a NN of the NNP effect is necessary for understanding the unusual JJ NN of NN .	8	13	VBZ	is	are
the arts and the law NNS are the oldest in the university , both established in 1953 , closely followed by the faculty of science ( 1956 ) and newly the faculty of engineering ( 2009 ) .	1	6	VBP	are	is
the motors are JJ JJ motors located in the NN frame and equipped with JJ NNS .	1	2	VBP	are	is
the engineering programmes are 5 years in length while the marine NN programmes are 5 .	12	13	VBP	are	is
NNP 's career highlights as a junior NN include gold medals at the 1982 moscow news ( now known as moscow stars of the world ) and the junior european championships .	3	8	VBP	include	includes
the NNP de NNP NNP site dedicated to proving that the passage is authentic , with links to a wide range of scholarly published material on both sides about all aspects of this text , and dozens of new articles .	11	12	VBZ	is	are
each episode VBZ a notorious crime and includes interviews with relatives of the victims .	1	2	VBZ	examines	examine
WRB this intention does not RB appear , neither the books nor their authors have the smallest claim to the NN of NN '' .	10	14	VBP	have	has
lambert 's name is in the house chamber .	2	3	VBZ	is	are
SYM - presidents of the united states already have many categories .	2	8	VBP	have	has
the work presents what view of the world might look like if one had relied upon the september 2012 version of apple maps to locate various landmarks .	1	2	VBZ	presents	present
the NNP 's annual tournament , NNP , traces its roots back to 1996 .	4	8	VBZ	traces	trace
the highest point on NNP is the JJ hill called NNP .	2	5	VBZ	is	are
overall the article is very good , and therefore i would not support VBG , however the article does need improvement , and content that is removed in the NN can be moved to appropriate articles , this way verified content is not lost .	2	3	VBZ	is	are
the album version features NNP of NNP 13 .	2	3	VBZ	features	feature
unless something NNS , expect to see more argument about notability policy in afds , not less .	2	4	VBP	expect	expects
the town has its origin from a group of italian immigrants who settled in the region in 1904 .	1	2	VBZ	has	have
NNP ( NNP sabha constituency ) is an assembly constituency in NNP district in the indian state of west bengal .	4	6	VBZ	is	are
this category is for molecular and cellular biology articles that are rated as NNP on the wikipedia 1 .	1	2	VBZ	is	are
this article contains no meaningful NN that this camera model was ever notable .	1	2	VBZ	contains	contain
the position of literary NN has more to it than the simple monetary aspect , though .	1	5	VBZ	has	have
clearly the article needs more citations - but then so do a lot of article son wikipedia .	2	3	VBZ	needs	need
today , the JJ NN NN has a much larger range than the red NN NN , although it is very JJ , extending from slightly northwest of NNP , on NNP bay , in the north down the coast to the NNP river near NNP in the south .	5	6	VBZ	has	have
just because you do n't like a term or its meaning has no bearing on whether it should be included in an encyclopedic library like wikipedia .	10	11	VBZ	has	have
prime examples include the NNP motorcycle jacket worn by NNP NNP 's johnny NNP in the wild one ( 1953 ) , honor NNP as NNP NNP in the NNP , and michael NNP in eddie and the NNP duo ( 1983 and 1989 ) .	1	2	VBP	include	includes
the abundance of NNS , NNS , and JJ birds provides JJ food for NNS , and suitable NN sites are JJ along the steep canyon walls .	19	20	VBP	are	is
gold star NNP gold star NNP program recognizes NNS who house or are responsible for housing JJ workers that meet all of the requirements stated in the NNP housing act of n .	6	7	VBZ	recognizes	recognize
the NNP people also use the NN plant to make boats ( NN ) of the VBN dried plant NNS .	2	4	VBP	use	uses
the fifteen color plates are of the same dimensions as the original drawings .	3	4	VBP	are	is
the NN is upon the club to satisfy itself that the player is not under suspension .	11	12	VBZ	is	are
the releases are comparable to the releases of the earlier NNP series ( also a NNP series ) where the original was followed by a NN and then a direct sequel a few years later .	1	2	VBP	are	is
while passing references only ( some with a one sentence description of the character ) the term is apparently fairly common and we certainly should not delete as it is a reasonable search term .	16	17	VBZ	is	are
whatever the disagreement , the first step in VBG a dispute is to talk to the other parties involved .	6	11	VBZ	is	are
NNP football club also has experience playing for a year in the late 90 's in the then 4th national division .	2	4	VBZ	has	have
these examples differ from the traditional examples in that the influence is short term .	1	2	VBP	differ	differs
an NNP NN VBZ up to 1 .	2	3	VBZ	weighs	weigh
NN 's campus consists of two buildings and a swimming pool set on three acres .	2	3	VBZ	consists	consist
it has been suggested that they might have been VBN via NN from the quarry , and a short dive between the island and the NNS shows a trail of dropped stones .	19	26	VBZ	shows	show
the two articles are highly JJ of each other .	2	3	VBP	are	is
the JJ leaves contain three primary NNS and spread out in a horizontal NN at the top of the stem .	2	3	VBP	contain	contains
the fruit is a black berry just under a NN in length .	1	2	VBZ	is	are
the fundamental notion behind the JJ principle is that for two processes VBG with each other via some communication means , the reliability obtained from that means can not be expected to be perfectly aligned with the reliability requirements of the processes .	2	7	VBZ	is	are
after all , most blocks are JJ .	4	5	VBP	are	is
NN ; its JJ NN is weak ; no NN present on JJ iii .	4	5	VBZ	is	are
details of the design include JJ window NNS , decorative JJ NNS , side yard orientation and RB VBD corner NNS .	0	4	VBP	include	includes
while most banks have less than 250 members , they achieve service NN and NNS of scale through networking together into regional NNS .	2	3	VBP	have	has
the hotel and restaurant trade receives a considerable boost from the races .	4	5	VBZ	receives	receive
the book entering public domain is a direct consequence of the results of this lawsuit which can be accessed at NNP .	1	5	VBZ	is	are
one religious ceremony practiced in NNP and cameroon is the NNP , practiced by several NNP ethnic groups .	2	8	VBZ	is	are
where such an encyclopedia is free of copyright ( e .	3	4	VBZ	is	are
the proposed boundaries include both sides of the street ( los angeles city council file NNP ) .	2	3	VBP	include	includes
according to NNP , the state is that entity which `` VBZ the claim to the monopoly of the legitimate use of physical force in the enforcement of its order .	5	6	VBZ	is	are
another issue with NN is that when the issue is raised by the defence as a realistic defence ( an JJ basis ) , the prosecution then has to prove beyond reasonable doubt that the defendant was acting RB .	1	4	VBZ	is	are
the camp VBZ to provide new opportunities for NNS to learn positive life skills and for them to engage in a variety of activities different from those available at school and home .	1	2	VBZ	strives	strive
thousands of young men play college football each year and this guy was not extraordinary in any way .	0	4	VBP	play	plays
through some NNS and logical dating back , given that 5th generation is living in the village now with 6th generation mostly in schools or just starting their careers , author believes the village may have been founded between 1800 and 1850 or even earlier .	30	31	VBZ	believes	believe
thus , the two NNS of this enzyme are NNP and NNP , whereas its two products are JJ and NNP .	16	17	VBP	are	is
archive CD most recent topics appear on top .	4	5	VBP	appear	appears
JJ collapse usually refers to the NN of human societies along with their life support systems .	1	3	VBZ	refers	refer
the NN is that this doubles the storage , and both devices ( copies ) need to be updated simultaneously with some overhead and possibly some delays .	11	15	VBP	need	needs
an alternative is to send an NNP NN status code , such as NNP CD or CD .	1	2	VBZ	is	are
as he does so , the NNS come from NNS holding three JJ students .	6	7	VBP	come	comes
JJ analysis is a method of determining the concentration of a chemical element or chemical compound in a solution with the aid of a color NN .	1	2	VBZ	is	are
the user rob refuses to consider the arguments submitted and instead NNS on VBG people into suspicious `` for '' or `` against '' camps .	1	3	VBZ	refuses	refuse
RB , the parish boundary runs along both these roads meaning the majority of the houses in the parish are at its very edge .	5	19	VBP	are	is
the industry is JJ during this entire period .	1	2	VBZ	is	are
application of protection ratings varies widely from area to area and from NN to VB .	0	4	VBZ	varies	vary
another area of distinctive character is `` the rows '' , several streets of colony houses on the north side of london road .	1	5	VBZ	is	are
NNP designer picks one of 12 JJ fashion designs .	1	2	VBZ	picks	pick
i think that efforts to VB or require NN of paid editing are to avoid VBG the NNS of creating a huge industry out of it which is what would happen if it were accepted .	3	12	VBP	are	is
its name comes from the fact that the NNS from which students learned it were printed from VBN copper plates .	1	2	VBZ	comes	come
alternatively , sexual reproduction occurs , with internal NN .	3	4	VBZ	occurs	occur
i 'd quite like a personal answer to this , but the main reason i 'm asking is so a bit more detail could be put into the VBG entries .	13	17	VBZ	is	are
built in the greek revival style architecture with NNS VBN on the NNP 's property , this house is one of the four remaining civil war period homes in the kansas city area .	17	18	VBZ	is	are
actually , i would like to learn more about the rise and fall of NNP and am happy that an article exists and provides at least some useful basic information .	20	21	VBZ	exists	exist
in this way the sport aspects of NNP practice seek to build strong character in its practitioners , while good character in turn contributes to an JJ competitive spirit while VBG NNS of courtesy , respect , NN and NN .	5	9	VBP	seek	seeks
its CD speakers live mostly in NNP and NNP , the two main islands in the southern half of the NNP group .	2	3	VBP	live	lives
several features of the NNS distinguish NNP from other JJ genera , including dorsal JJ NNS with strongly VBN and VBN JJ edges and NN consisting of deep NNS and VBG NNS , as well as JJ dorsal and JJ JJ NNS .	1	5	VBP	distinguish	distinguishes
nature has its own NN , for example the NN of water and NN of the forest .	0	1	VBZ	has	have
his younger brother is NNP cricketer jim NNP .	2	3	VBZ	is	are
NN allows that an assertion of winning a notable award or receiving multiple nominations for such awards shows notability .	4	17	VBZ	shows	show
the only restriction is a hard limit of CD high and CD wide .	2	3	VBZ	is	are
then by the NN , the sum of is strictly less than and so is strictly less than , whereas the sum of is clearly at least .	6	8	VBZ	is	are
circuit NN is a design pattern in modern software development .	1	2	VBZ	is	are
JJ clusters and NNP balls are JJ NNS .	1	5	VBP	are	is
she VBZ sandy that she 's VBG off the alcohol after the NN the accident causes , but sandy finds a bottle of NN in her NN .	14	15	VBZ	causes	cause
however , the results also indicate that african village dogs VBP from indigenous ancestors that are related to the NNP , a dog originating in the congo basin that has many unique traits .	3	5	VBP	indicate	indicates
the group consists of NNP NNP , lee min NNP , lee NNP , NNP NNP , NNP d .	1	2	VBZ	consists	consist
VBG finds that the biography of jesus hidden in the new testament shows him to have been born in NNP , an NNP community beside the dead sea , in march , 7 bc .	4	12	VBZ	shows	show
the player starts out with the most basic ship , NNP , and 3000 ( CD ) gold .	1	2	VBZ	starts	start
this article is a list of diseases of NN ( NNP NN ) .	1	2	VBZ	is	are
the sources which i have given to this article , do not prove the subject an activist .	1	10	VBP	do	does
the panel is broken apart into individual NNP when all other processing is complete .	1	2	VBZ	is	are
its finishing attack is the , where it shoots a powerful beam from the NNP cannon , after performing the , where it shoots a NNP cell destroying beam from the NNP head cannon .	2	3	VBZ	is	are
NNP high school features academics above both the texas and national average based on its sat scores .	2	3	VBZ	features	feature
i now feel that the crisis is over and i should run for adminship again ( although i was offered the option to have the powers RB restored , something that i do n't believe in ) .	5	6	VBZ	is	are
these plants VBP upon the habitat by producing NN , lower the water table still further by NN , build up the soil , and lead to the NN of NN with associated NNS .	1	2	VBP	react	reacts
a soundtrack album for the film featuring the following songs is available from NNP records .	2	10	VBZ	is	are
city of niagara falls and the regional municipality of niagara , although the ministry of transportation of ontario ( NNP ) still assists with the maintenance of it under a connecting link agreement .	0	22	VBZ	assists	assist
several radio stations cover port NNP including abc CD , abc CD , CD CD , CD CD , triple j , magic fm and NNP fm ( a community station ) .	2	3	VBP	cover	covers
this use of the word bee is common in literature describing colonial north america .	1	6	VBZ	is	are
rs partially because the topic is too emotional to stay within the core policies .	4	5	VBZ	is	are
NNP cell types show unique JJ NN patterns and region specific targeting by NN NNS .	2	3	VBP	show	shows
john 's NNS are comparable to the blue NNS of other grand NNP and work the same degrees .	2	3	VBP	are	is
major reservoir facilities also exist at NNP .	2	4	VBP	exist	exists
the NNS show two ships that carry the NN underwater between them .	1	2	VBP	show	shows
the list is for fictional vehicles , so the two things they have in common are being fictional and vehicles .	1	2	VBZ	is	are
VBG you that behavior is JJ is perfectly appropriate from anyone , admin or otherwise , involved in a debate or not .	3	4	VBZ	is	are
the 2001 census data shows that its largest immigrant groups VBP from vietnam , china , united kingdom , italy , new zealand , greece , egypt , philippines , india and hong kong .	9	10	VBP	originate	originates
this feeding habit probably accounts for their more JJ lifestyle compared with their mainland NNS .	2	4	VBZ	accounts	account
NNP shoots him twice with NNS in the big fat kill ; the first arrow goes RB through his NN but his only reaction is one of NN .	23	24	VBZ	is	are
the game uses an open world that tim NNP has described as being approximately 40 NN ( 103 .	1	2	VBZ	uses	use
combined , these JJ NNS suggest that changes in NN structure and JJ environment during space flight could alter electrical NN , although the evidence supporting this NN consists mostly of minor changes in NNP interval in a small number of NNS after JJ space flight .	4	5	VBP	suggest	suggests
the city is located west of são paulo , and has a terrain made of valleys and mountains , reaching a maximum altitude of 1 , CD meters above sea level the city has the NNP river as its main river .	32	33	VBZ	has	have
mr ross ( i have a great deal of respect for anyone that goes to such lengths to fight NNS ) , but i do not believe that removing a bio just because the subject wishes it is a good way to build a complete , neutral NNS .	34	35	VBZ	wishes	wish
the name `` NNP '' is the english pronunciation and spelling of the ancient and original name of NNP .	1	5	VBZ	is	are
JJ classification VBZ NNP into closed and VBG head injury .	1	2	VBZ	divides	divide
similarly , the earth 's moon has a JJ appearance , rather like a NN lamp .	5	6	VBZ	has	have
the legal and community standards of what states of JJ constitute NN exposure vary considerably , and depend on the context in which the exposure takes place .	24	25	VBZ	takes	take
its sister languages include bengali , NNP , NNP ( NNP ) , NNP , the NNP languages .	2	3	VBP	include	includes
the real work of a doctor is not an affair of health centres , or laboratories , or hospital beds .	2	6	VBZ	is	are
it is that art has the power , through engaging at both emotional and rational levels , to establish unusual connections and VB NN and innovation .	3	4	VBZ	has	have
on the other hand , costume books and some contemporary accounts indicate that in the sea they VBD in a JJ NN of NN or other strong material .	6	11	VBP	indicate	indicates
average slip rates in the fault 's central region are about CD a year , very fast by global standards .	2	9	VBP	are	is
this article actually needs improving , especially with format , layout and sourcing .	1	3	VBZ	needs	need
the pitcher usually throws the ball in the strike zone .	1	3	VBZ	throws	throw
the society also hosts a secondary schools ' public speaking competition , the NNP phil speaks .	1	3	VBZ	hosts	host
i 'm going to guess that the answers to these questions lie somewhere in your text book or other reading material for whatever class you 're taking .	7	11	VBP	lie	lie
i believe standard practice is deletion or oversight , but i 'll let someone else be the judge of that .	3	4	VBZ	is	are
its leader , campbell newman , is the premier of queensland .	1	6	VBZ	is	are
the NN shark is an extremely fast , JJ NN that is usually found in groups of varying size .	2	3	VBZ	is	are
this song is cash 's first single to reach any chart in billboard magazine or to be featured on a NN .	1	2	VBZ	is	are
the breakdown voltage for the JJ discharge depends RB on the product of gas pressure and NN distance according to NNP 's law .	2	7	VBZ	depends	depend
at first , the family lives there RB but soon will 's children start seeing a man watching the house from the front yard , and will and NNP find evidence that something has happened to the house 's previous owners .	4	5	VBZ	lives	live
the current CD air ground operations wing commander is colonel samuel p .	7	8	VBZ	is	are
however , such conduct was unknown since CD , and this , in his view , reflected the understanding that appointment to the bench means that `` the practice of law is abandoned forever '' .	20	24	VBZ	means	mean
after 13 days of discussion , there 's a consensus that the subject is notable and nobody besides the nominator is arguing for deletion .	12	13	VBZ	is	are
the NN NN employed is rather like the parallel NN NN and is rarely allowed to VB the entire fabric .	2	4	VBZ	is	are
the italy military national football team is a NNP team representing italy .	5	6	VBZ	is	are
the stem at the base is JJ , with thick roots .	1	5	VBZ	is	are
like NNP 's weekly coverage of government affairs , the book tv the production style is `` no NNS '' , focusing on panel discussions , book NNS and visits to NNS .	14	15	VBZ	is	are
sources 1 , 2 , 3 and 6 are from NN .	0	8	VBP	are	is
this song features JJ drum work from NNP richmond and JJ NN by ted NNP and eric NNP .	1	2	VBZ	features	feature
while i realize that there is no biographical NN ( though RB that will be VBN soon , i do think that his death is important enough to gain its own page .	23	24	VBZ	is	are
assuming lower and upper NNS on the quality of life of a single individual , the difference between the two has to be a bound on the happiness per NN .	16	20	VBZ	has	have
the maximum speed for NN is 99 .	2	5	VBZ	is	are
the quality ratings are only valid at the time they are done and may be out of date as some of the NNS were done over two years ago .	2	3	VBP	are	is
trying to make wikipedia a JJ regime is not exactly equal to calling somebody a NN .	6	7	VBZ	is	are
the description attached within a style is of an attribute the holder of the style is VBN to have .	1	6	VBZ	is	are
the region is , however , more especially celebrated for its table NN .	1	2	VBZ	is	are
second a very quick search produces many many sources that speak to notability and have JJ info on them .	4	5	VBZ	produces	produce
a man in the middle attack is a simple example of this , because you can use it to collect details to VB a user .	1	6	VBZ	is	are
the carriage house is `` l '' shaped , and features a JJ tower with a JJ roof .	2	3	VBZ	is	are
the two sides to the game are the dark side and the light side , representing the two sides of the force .	2	6	VBP	are	is
the company redirects a certain percentage of their calls in to her home phone ( she may have a separate line for that , i 'm not sure ) , and she 's able to answer the phones and place orders for NNS from her house .	1	2	VBZ	redirects	redirect
it will be VBN under those standards in its fa run , so just be certain you follow those guidelines closely , paying close attention to the section on titles and NNP , and the further style guides it links .	36	37	VBZ	guides	guide
h ' NNP 's grand NN and NN is the screenwriter margaret NNP .	5	8	VBZ	is	are
renaissance , and every painter of that time is interesting and significant .	4	8	VBZ	is	are
the possible JJ NN clusters in NNP are .	4	7	VBP	are	is
the two `` story '' searches produce 1 , CD JJ hits vs CD for the two `` myth '' searches , over 8 times as many .	5	6	VBP	produce	produces
NNP NNP NNP church is the other noticed worship place , which has a history over 100 years .	3	4	VBZ	is	are
the sentence in the article is a single line , stating the cake exists .	1	5	VBZ	is	are
a challenge to such an edit only puts it into question to the point that its NN does not justify an edit war over it .	1	7	VBZ	puts	put
here , the return to the investment consists of reduced operating costs .	3	7	VBZ	consists	consist
bristol corporation of the poor and it is in this role as a NNS ' NN that the building is much better known .	18	19	VBZ	is	are
my biggest problem with the article is that it is RB organized and as a result does not clearly tell the story of the business .	2	6	VBZ	is	are
the NNP 's manuscript holdings include work by mike NNP , NNP scott watson , and ben NNP .	4	5	VBP	include	includes
NNP underground , exploring the NNS and caves , NNS continue to make JJ NNS .	9	10	VBP	continue	continues
there can still be a doubt , but only to the extent that it would not affect a reasonable person 's belief regarding whether or not the defendant is guilty .	27	28	VBZ	is	are
and i believe a tag on the NNP article page is appropriate as well .	4	10	VBZ	is	are
the NNP card allows users to input personal information at the time the card is created .	2	3	VBZ	allows	allow
NNP 's educational facilities include NNP engineering physical institute , polytechnic college , medical college , NNP college .	3	4	VBP	include	includes
external link appears to be missing from page ; no NNP rank .	1	2	VBZ	appears	appear
the process of NN involves not only breaking down the molecular NNS in the triple NN of NN NNS called NN but significantly reducing the molecular weight ( or molecular mass ) of NN NNS to short chains of NNS .	1	4	VBZ	involves	involve
the organisation offers professional support and training for NNS and staff of its member schools , as well as sport and cultural activities for pupils .	1	2	VBZ	offers	offer
certain bonds are indeed more JJ to breaking , but as NNP said , which part of the protein is exposed to it plays a role as well .	1	2	VBP	are	is
the area is home to many puerto rican cultural institutions , as well as two sixty feet puerto rican flags on division street .	1	2	VBZ	is	are
throughout the novel , NNP 's character goes through an intensive development of NN as a poet and individual .	6	7	VBZ	goes	go
every representation of a lie algebra VBZ RB to a representation of the corresponding connected , simply connected lie group , and RB every representation of any lie group VBZ a representation of the group 's lie algebra ; the representations are in one to one correspondence .	40	41	VBP	are	is
it is a matter of the player 's preference as to which position gives the greatest ease of playing and what a NN VBZ .	12	13	VBZ	gives	give
in murder on the NNP express , the actual novel follows an investigation , so NNP could more easily JJ NNS to lead to all three possible solutions .	9	10	VBZ	follows	follow
business at bob 's NNP goes up due to gene 's fame but bob is not happy .	0	5	VBZ	goes	go
the majority of other literature written consists of law texts .	1	6	VBZ	consists	consist
NN VBZ the wider edit war , then yes , the effort is well worth it .	11	12	VBZ	is	are
the game runs for six stages through various settings such as a jungle , JJ NNS , tokyo and fortress NNP itself .	1	2	VBZ	runs	run
its name is an NN to a NN of the san carlos monastery in nearby san lorenzo , where the wounded of the rebel forces of general josé de san NNP were tended after the battle of san lorenzo .	1	2	VBZ	is	are
the information is out of date ( for example , there is no longer a separate cambridge application form ) .	1	2	VBZ	is	are
the NNP review i mentioned is actually about the album , and actually mentions whether it 's NN or not .	2	5	VBZ	is	are
there is a distinction between saying that the text someone writes is potentially JJ , and saying that the person who wrote it is a NN .	8	11	VBZ	is	are
telling me to give `` it '' a name is ridiculous .	8	9	VBZ	is	are
while the concept of NNP is not new , the rapidly VBG capabilities of digital electronics VBP practical many processes which used to be only RB possible .	2	5	VBZ	is	are
the JJ hypothesis NNS that sexual NNS are NNS of NN and disease resistance .	6	7	VBP	are	is
examples include the anatomy NNP book and subsequent book series , by NNP NNP and lawrence NNP , published by NNP ( 1990s ) and benjamin NNP ( 2000s ) .	0	1	VBP	include	includes
according to the mexican census of 2000 ( NNP NNP general ) , the municipal population is 3 , CD the majority of whom ( 2 , CD ) reside in the town of NNP .	15	16	VBZ	is	are
situated on the isle de NNP until a NN was constructed between CD and CD , what is now the town shows evidence of long NN .	20	21	VBZ	shows	show
the second period covers his political involvement in later years VBG with his defeat against alberto NNP in the peruvian presidential elections .	2	3	VBZ	covers	cover
contestants play against an JJ guard by dancing to music and playing NNP , a japanese variation of rock , paper , NNP .	0	1	VBP	play	plays
her novels have a NN of feeling which is rich in the details of our common experiences .	1	2	VBP	have	has
policy discourse in singapore has largely VBN the fact that the linguistic market consists of JJ boundaries and the value of linguistic capital for each language changes as internal and external factors interact together .	12	13	VBZ	consists	consist
i understand that many 3d works need one , but this is RB not in a museum where a single artist 's copyright is JJ .	5	6	VBP	need	needs
he allegedly showed the NN of politics as such over any religious norm when he said that the interests of the islamic republic are paramount in islam and that NN , NN , NN , and everything else in islam , are JJ .	18	23	VBP	are	is
though RB coming long before the `` JJ era '' , the NNP console contains a unique processor with instructions that were 10 bits wide ( allowing more instruction variety and potential speed ) , and VBZ 16 bits wide .	13	14	VBZ	contains	contain
his team has demonstrated that although b cells and JJ cells can generate regulatory t cells by themselves , a mixture of both JJ cells VBZ their capacity to RB generate regulatory t cells .	20	25	VBZ	improves	improve
on arrival , those security people at the airport really have no sense of NN ; so never try strike up a conversation and absolutely never VB a joke with them .	5	10	VBP	have	has
the NNP gallery programme encourages engagement with the latest developments in contemporary art through an exhibitions programme which includes new commissions , projects and activities .	3	4	VBZ	encourages	encourage
just reading that article makes me miss fred NNP all over again .	3	4	VBZ	makes	make
the philosophy behind the festival is to help people discover new music styles , artists that are JJ or even totally unknown , but that will be the future of musical expressions thanks to their original and innovative nature .	1	5	VBZ	is	are
the man often VBZ george 's adventures by taking him somewhere , and even more often VBZ the tension by appearing just in time to get george out of a tight spot .	1	3	VBZ	facilitates	facilitate
the most recent thread is here .	3	4	VBZ	is	are
besides the mound , the site contains a number of JJ deposits from villages dating to the middle woodland and late woodland periods .	5	6	VBZ	contains	contain
this impressive JJ structure measures 42 feet by 33 feet , with walls between 7 feet and 8 feet in NN .	3	4	VBZ	measures	measure
then , when the rain stops the pools dry out they die .	4	5	VBZ	stops	stop
the references arise from the group growing up in NNP island in the late 1970s , and being influenced by movie theaters playing and advertising NNP fu movies based on the NNP fighting style .	1	2	VBP	arise	arises
a reconstruction of an original house paired with an original barn from the same era , this house is JJ of the lifestyle of NNS who populated the edmonton area in the late 19th century .	17	18	VBZ	is	are
the comment you keep bringing up completely out of context from NNP wales to me on the talk page of another article has some strong and JJ history behind it .	1	22	VBZ	has	have
NNP has VBN that the fifth dimension is really the NN fabric .	6	7	VBZ	is	are
the island platform station between double tracks serves the suburb of NNP .	3	7	VBZ	serves	serve
in his performances , israeli composer and singer NNP NNP uses the NN to produce a very wide range of notes .	5	10	VBZ	uses	use
from the youngest in NNP to the oldest in year 6 , every child learns the life skills that will enable each one to make a positive contribution to society in later life .	13	14	VBZ	learns	learn
the winner also receives 3 bonus points , and single bonus points are awarded to all drivers who lead a lap , plus the driver who leads the most laps .	1	3	VBZ	receives	receive
